club,club_short,player_id,web_name,position,expected_role,p_start,p_sub_in,p_dnp,mins_if_start,mins_if_sub,override,confidence,conflict_rule,draft_eligible,reason,sources,source_refs,api_status,api_chance_of_playing_next_round,api_chance_of_playing_this_round,api_news,api_news_added,api_club_id,api_club_short,registration_status,registration_reason,availability_status,availability_override,availability_confidence,draft_availability,availability_reason,availability_sources,availability_source_refs
Arsenal,ARS,19,Zubimendi,MID,Rotation,0.4,0.25,0.35,70,20,False,medium,source_disagreement_or_single,False,Previously draft-role but absent from current FFS XI and Meerkat nailed list.,FFS Team News; FPL Meerkat,https://www.fantasyfootballscout.co.uk/team-news,a,,,,,1,ARS,aligned,,available,none,none,not_role_eligible,,,
Arsenal,ARS,14,Eze,MID,Rotation,0.4,0.25,0.35,70,20,False,medium,source_disagreement_or_single,False,Previously draft-role but absent from current FFS XI and Meerkat nailed list.,FFS Team News; FPL Meerkat,https://www.fantasyfootballscout.co.uk/team-news,a,,,,,1,ARS,aligned,,available,none,none,not_role_eligible,,,
Arsenal,ARS,16,Madueke,MID,Rotation,0.4,0.25,0.35,70,20,False,medium,source_disagreement_or_single,False,Previously draft-role but absent from current FFS XI and Meerkat nailed list.,FFS Team News; FPL Meerkat,https://www.fantasyfootballscout.co.uk/team-news,a,,,,,1,ARS,aligned,,available,none,none,not_role_eligible,,,
Arsenal,ARS,25,Gyökeres,FWD,Regular Starter,0.75,0.1,0.15,80,20,False,medium,source_disagreement_or_single,True,Single-source or non-unanimous starter signal (FFS predicted XI).,FFS Team News; FPL Meerkat,https://www.fantasyfootballscout.co.uk/team-news,a,,,,,1,ARS,aligned,,available,none,none,eligible,,,
Arsenal,ARS,18,Martinelli,MID,Rotation,0.4,0.25,0.35,70,20,False,medium,source_disagreement_or_single,False,Previously draft-role but absent from current FFS XI and Meerkat nailed list.,FFS Team News; FPL Meerkat,https://www.fantasyfootballscout.co.uk/team-news,a,,,,,1,ARS,aligned,,available,none,none,not_role_eligible,,,
Arsenal,ARS,9,Hincapie,DEF,Rotation,0.4,0.25,0.35,70,20,False,medium,none,False,"Confirmed summer signing; Meerkat notes left-CB usage but Scout starts Calafiori, so minutes shared.",transfer_note|meerkat_nailed|scout_xi,https://www.fantasyfootballscout.co.uk/fpl-2026-27-transfer-news-confirmed-summer-signings;https://fpl.page/article/fpl-gw1-predicted-lineups-2627;https://www.fantasyfootballscout.co.uk/team-news,a,,,,,1,ARS,aligned,,available,none,none,not_role_eligible,,,
Arsenal,ARS,557,Tzolis,MID,Regular Starter,0.75,0.1,0.15,80,20,False,medium,source_disagreement_or_single,True,Single-source or non-unanimous starter signal (FFS predicted XI).,FFS Team News; FPL Meerkat,https://www.fantasyfootballscout.co.uk/fpl-2026-27-transfer-news-confirmed-summer-signings;https://fpl.page/article/fpl-gw1-predicted-lineups-2627,a,,,,,1,ARS,aligned,,available,none,none,eligible,,,
Arsenal,ARS,26,Havertz,FWD,Regular Starter,0.75,0.1,0.15,80,20,False,medium,source_disagreement_or_single,True,Single-source or non-unanimous starter signal (FFS predicted XI).,FFS Team News; FPL Meerkat,https://www.fantasyfootballscout.co.uk/team-news,a,,,,,1,ARS,aligned,,available,none,none,eligible,,,
Aston Villa,AVL,28,Martinez,GKP,Nailed Starter,0.9,0.05,0.05,85,20,False,high,unanimous_dual_source,True,Unanimous: FFS predicted XI + Meerkat 🟢 nailed.,FFS Team News; FPL Meerkat,https://fpl.page/article/fpl-gw1-predicted-lineups-2627;https://www.fantasyfootballscout.co.uk/team-news,a,,,,,2,AVL,aligned,,available,none,none,eligible,,,
Aston Villa,AVL,31,Konsa,DEF,Nailed Starter,0.9,0.05,0.05,85,20,False,high,unanimous_dual_source,True,Unanimous: FFS predicted XI + Meerkat 🟢 nailed.,FFS Team News; FPL Meerkat,https://fpl.page/article/fpl-gw1-predicted-lineups-2627;https://www.fantasyfootballscout.co.uk/team-news,a,,,,,2,AVL,aligned,,available,none,none,eligible,,,
Aston Villa,AVL,32,Cash,DEF,Nailed Starter,0.9,0.05,0.05,85,20,False,high,unanimous_dual_source,True,Unanimous: FFS predicted XI + Meerkat 🟢 nailed.,FFS Team News; FPL Meerkat,https://fpl.page/article/fpl-gw1-predicted-lineups-2627;https://www.fantasyfootballscout.co.uk/team-news,a,,,,,2,AVL,aligned,,available,none,none,eligible,,,
Aston Villa,AVL,47,Kamara,MID,Nailed Starter,0.9,0.05,0.05,85,20,False,high,unanimous_dual_source,True,Unanimous: FFS predicted XI + Meerkat 🟢 nailed.,FFS Team News; FPL Meerkat,https://fpl.page/article/fpl-gw1-predicted-lineups-2627;https://www.fantasyfootballscout.co.uk/team-news;data/processed/players.parquet,d,75.0,,Knee injury - 75% chance of playing,2026-07-23T12:01:23.337269Z,2,AVL,aligned,,doubt,api_doubt_gw1,medium,watch,Knee injury - 75% chance of playing,api_status,data/processed/players.parquet
Aston Villa,AVL,55,Watkins,FWD,Nailed Starter,0.9,0.05,0.05,85,20,False,high,unanimous_dual_source,True,Unanimous: FFS predicted XI + Meerkat 🟢 nailed.,FFS Team News; FPL Meerkat,https://fpl.page/article/fpl-gw1-predicted-lineups-2627;https://www.fantasyfootballscout.co.uk/team-news,a,,,,,2,AVL,aligned,,available,none,none,eligible,,,
Aston Villa,AVL,34,Pau,DEF,Rotation,0.4,0.25,0.35,70,20,False,medium,source_disagreement_or_single,False,Previously draft-role but absent from current FFS XI and Meerkat nailed list.,FFS Team News; FPL Meerkat,https://www.fantasyfootballscout.co.uk/team-news,a,,,,,2,AVL,aligned,,available,none,none,not_role_eligible,,,
Aston Villa,AVL,36,Maatsen,DEF,Regular Starter,0.75,0.1,0.15,80,20,False,medium,source_disagreement_or_single,True,Single-source or non-unanimous starter signal (FFS predicted XI).,FFS Team News; FPL Meerkat,https://www.fantasyfootballscout.co.uk/team-news,a,,,,,2,AVL,aligned,,available,none,none,eligible,,,
Aston Villa,AVL,37,Lindelöf,DEF,Rotation,0.4,0.25,0.35,70,20,False,medium,source_disagreement_or_single,False,Previously draft-role but absent from current FFS XI and Meerkat nailed list.,FFS Team News; FPL Meerkat,https://www.fantasyfootballscout.co.uk/team-news,a,,,,,2,AVL,aligned,,available,none,none,not_role_eligible,,,
Aston Villa,AVL,45,McGinn,MID,Regular Starter,0.75,0.1,0.15,80,20,False,medium,source_disagreement_or_single,True,Single-source or non-unanimous starter signal (FFS predicted XI).,FFS Team News; FPL Meerkat,https://www.fantasyfootballscout.co.uk/team-news;https://www.fantasyfootballscout.co.uk/fpl-2026-27-transfer-news-confirmed-summer-signings,a,,,,,2,AVL,aligned,,available,none,none,eligible,,,
Aston Villa,AVL,46,Barkley,MID,Regular Starter,0.75,0.1,0.15,80,20,False,medium,source_disagreement_or_single,True,Single-source or non-unanimous starter signal (FFS predicted XI).,FFS Team News; FPL Meerkat,https://www.fantasyfootballscout.co.uk/team-news,a,,,,,2,AVL,aligned,,available,none,none,eligible,,,
Aston Villa,AVL,41,Buendía,MID,Regular Starter,0.75,0.1,0.15,80,20,False,medium,source_disagreement_or_single,True,Single-source or non-unanimous starter signal (FFS predicted XI).,FFS Team News; FPL Meerkat,https://www.fantasyfootballscout.co.uk/team-news,a,,,,,2,AVL,aligned,,available,none,none,eligible,,,
Aston Villa,AVL,53,Manzambi,MID,Rotation,0.4,0.25,0.35,70,20,False,medium,regular_vs_rotation->rotation,False,£50m signing; Meerkat says likely Rogers replace but Scout XI omits him for Barkley/Buendía/McGinn — conservative Rotation.,transfer_note|meerkat_nailed|scout_xi,https://www.fantasyfootballscout.co.uk/fpl-2026-27-transfer-news-confirmed-summer-signings;https://fpl.page/article/fpl-gw1-predicted-lineups-2627;https://www.fantasyfootballscout.co.uk/team-news,a,,,,,2,AVL,aligned,,available,none,none,not_role_eligible,,,
Aston Villa,AVL,54,Gomes,MID,Regular Starter,0.75,0.1,0.15,80,20,False,medium,source_disagreement_or_single,True,Single-source or non-unanimous starter signal (FFS predicted XI).,FFS Team News; FPL Meerkat,https://www.fantasyfootballscout.co.uk/fpl-2026-27-transfer-news-confirmed-summer-signings;https://fpl.page/article/fpl-gw1-predicted-lineups-2627;https://www.fantasyfootballscout.co.uk/team-news,a,,,,,2,AVL,aligned,,available,none,none,eligible,,,
Aston Villa,AVL,160,Garnacho,MID,Rotation,0.4,0.25,0.35,70,20,False,high,none,False,"Confirmed Chelsea loan; Meerkat explicitly frames as bench/CL rotation, not a locked XI starter.",transfer_note|meerkat_nailed,https://www.fantasyfootballscout.co.uk/fpl-2026-27-transfer-news-confirmed-summer-signings;https://fpl.page/article/fpl-gw1-predicted-lineups-2627,a,,,,,2,AVL,aligned,,available,none,none,not_role_eligible,,,
Aston Villa,AVL,30,Digne,DEF,Cameo,0.1,0.35,0.55,60,15,False,medium,none,False,Scout starts Maatsen at LB; Digne is the veteran backup/impact option.,scout_xi,https://www.fantasyfootballscout.co.uk/team-news,a,,,,,2,AVL,aligned,,available,none,none,not_role_eligible,,,
Aston Villa,AVL,44,Bailey,MID,Cameo,0.1,0.35,0.55,60,15,False,medium,none,False,Not in Scout XI or Meerkat greens; wide rotation behind Buendía/Garnacho/McGinn.,scout_xi,https://www.fantasyfootballscout.co.uk/team-news,a,,,,,2,AVL,aligned,,available,none,none,not_role_eligible,,,
Aston Villa,AVL,42,Guessand,MID,Cameo,0.1,0.35,0.55,60,15,False,low,single_source,False,Attacking depth only; neither Scout XI nor Meerkat green for early GW starts.,scout_xi,https://www.fantasyfootballscout.co.uk/team-news,a,,,,,2,AVL,aligned,,available,none,none,not_role_eligible,,,
Bournemouth,BOU,57,Petrović,GKP,Nailed Starter,0.9,0.05,0.05,85,20,False,high,unanimous_dual_source,True,Unanimous: FFS predicted XI + Meerkat 🟢 nailed.,FFS Team News; FPL Meerkat,https://fpl.page/article/fpl-gw1-predicted-lineups-2627;https://www.fantasyfootballscout.co.uk/team-news,a,,,,,3,BOU,aligned,,available,none,none,eligible,,,
Bournemouth,BOU,60,Hill,DEF,Nailed Starter,0.9,0.05,0.05,85,20,False,high,unanimous_dual_source,True,Unanimous: FFS predicted XI + Meerkat 🟢 nailed.,FFS Team News; FPL Meerkat,https://fpl.page/article/fpl-gw1-predicted-lineups-2627;https://www.fantasyfootballscout.co.uk/team-news;https://www.fantasyfootballscout.co.uk/fpl-2026-27-transfer-news-confirmed-summer-signings,a,,,,,3,BOU,aligned,,available,none,none,eligible,,,
Bournemouth,BOU,61,Truffert,DEF,Nailed Starter,0.9,0.05,0.05,85,20,False,high,unanimous_dual_source,True,Unanimous: FFS predicted XI + Meerkat 🟢 nailed.,FFS Team News; FPL Meerkat,https://fpl.page/article/fpl-gw1-predicted-lineups-2627;https://www.fantasyfootballscout.co.uk/team-news,a,,,,,3,BOU,aligned,,available,none,none,eligible,,,
Bournemouth,BOU,69,Scott,MID,Nailed Starter,0.9,0.05,0.05,85,20,False,high,unanimous_dual_source,True,Unanimous: FFS predicted XI + Meerkat 🟢 nailed.,FFS Team News; FPL Meerkat,https://fpl.page/article/fpl-gw1-predicted-lineups-2627;https://www.fantasyfootballscout.co.uk/team-news,a,,,,,3,BOU,aligned,,available,none,none,eligible,,,
Bournemouth,BOU,73,Adams,MID,Nailed Starter,0.9,0.05,0.05,85,20,False,high,unanimous_dual_source,True,Unanimous: FFS predicted XI + Meerkat 🟢 nailed.,FFS Team News; FPL Meerkat,https://fpl.page/article/fpl-gw1-predicted-lineups-2627;https://www.fantasyfootballscout.co.uk/team-news,a,,,,,3,BOU,aligned,,available,none,none,eligible,,,
Bournemouth,BOU,78,Kroupi.Jr,MID,Regular Starter,0.75,0.1,0.15,80,20,False,medium,source_disagreement_or_single,True,Single-source or non-unanimous starter signal (Meerkat 🟢 / predicted).,FFS Team News; FPL Meerkat,https://fpl.page/article/fpl-gw1-predicted-lineups-2627;https://www.fantasyfootballscout.co.uk/team-news,i,0.0,,Foot injury - Unknown return date,,3,BOU,aligned,,available,out_gw1-5_metatarsal_fracture,none,exclude_gw1-5,,,
Bournemouth,BOU,68,Tavernier,MID,Nailed Starter,0.9,0.05,0.05,85,20,False,high,unanimous_dual_source,True,Unanimous: FFS predicted XI + Meerkat 🟢 nailed.,FFS Team News; FPL Meerkat,https://fpl.page/article/fpl-gw1-predicted-lineups-2627;https://www.fantasyfootballscout.co.uk/team-news,a,,,,,3,BOU,aligned,,available,none,none,eligible,,,
Bournemouth,BOU,67,Rayan,MID,Nailed Starter,0.9,0.05,0.05,85,20,False,high,unanimous_dual_source,True,Unanimous: FFS predicted XI + Meerkat 🟢 nailed.,FFS Team News; FPL Meerkat,https://fpl.page/article/fpl-gw1-predicted-lineups-2627;https://www.fantasyfootballscout.co.uk/team-news,a,,,,,3,BOU,aligned,,available,none,none,eligible,,,
Bournemouth,BOU,64,Smith,DEF,Regular Starter,0.75,0.1,0.15,80,20,False,medium,source_disagreement_or_single,True,Single-source or non-unanimous starter signal (FFS predicted XI).,FFS Team News; FPL Meerkat,https://www.fantasyfootballscout.co.uk/team-news,a,,,,,3,BOU,aligned,,available,none,none,eligible,,,
Bournemouth,BOU,62,Diakité,DEF,Rotation,0.4,0.25,0.35,70,20,False,medium,source_disagreement_or_single,False,Previously draft-role but absent from current FFS XI and Meerkat nailed list.,FFS Team News; FPL Meerkat,https://www.fantasyfootballscout.co.uk/team-news;https://www.fantasyfootballscout.co.uk/fpl-2026-27-transfer-news-confirmed-summer-signings;https://fpl.page/article/fpl-gw1-predicted-lineups-2627,a,,,,,3,BOU,aligned,,available,none,none,not_role_eligible,,,
Bournemouth,BOU,79,Evanilson,FWD,Regular Starter,0.75,0.1,0.15,80,20,False,medium,source_disagreement_or_single,True,Single-source or non-unanimous starter signal (FFS predicted XI).,FFS Team News; FPL Meerkat,https://www.fantasyfootballscout.co.uk/team-news;https://fpl.page/article/fpl-gw1-predicted-lineups-2627;https://www.fantasyfootballscout.co.uk/fpl-2026-27-transfer-news-confirmed-summer-signings,a,,,,,3,BOU,aligned,,available,none,none,eligible,,,
Bournemouth,BOU,81,Rodríguez,FWD,Rotation,0.4,0.25,0.35,70,20,False,medium,none,False,Confirmed £25.7m striker; Meerkat frames as competing with Evanilson for the No.9 shirt.,transfer_note|meerkat_nailed,https://www.fantasyfootballscout.co.uk/fpl-2026-27-transfer-news-confirmed-summer-signings;https://fpl.page/article/fpl-gw1-predicted-lineups-2627,a,,,,,3,BOU,aligned,,available,none,none,not_role_eligible,,,
Bournemouth,BOU,75,Christie,MID,Rotation,0.25,0.2,0.55,70,20,True,medium,none,False,Scout lists Christie as doubt; API suspended until 29 Aug so early GW starts reduced (override p_start).,scout_xi|api_status,https://www.fantasyfootballscout.co.uk/team-news;data/processed/players.parquet,s,0.0,,Suspended until 29 Aug,2026-07-24T17:30:10.035483Z,3,BOU,aligned,,unavailable,api_unavailable_gw1,high,exclude_gw1,API status=s; chance=0.0; Suspended until 29 Aug,api_status,data/processed/players.parquet
Bournemouth,BOU,70,Kluivert,MID,Regular Starter,0.75,0.1,0.15,80,20,False,medium,source_disagreement_or_single,True,Single-source or non-unanimous starter signal (FFS predicted XI).,FFS Team News; FPL Meerkat,https://www.fantasyfootballscout.co.uk/team-news,a,,,,,3,BOU,aligned,,available,none,none,eligible,,,
Bournemouth,BOU,71,Cook,MID,Cameo,0.1,0.35,0.55,60,15,False,medium,none,False,Midfield depth behind Adams/Scott; not in Scout predicted XI.,scout_xi,https://www.fantasyfootballscout.co.uk/team-news,a,,,,,3,BOU,aligned,,available,none,none,not_role_eligible,,,
Bournemouth,BOU,63,Milosavljević,DEF,Cameo,0.1,0.35,0.55,60,15,False,low,single_source,False,CB depth after Senesi exit; Scout prefers Hill/Diakité pairing for early XI.,scout_xi|transfer_note,https://www.fantasyfootballscout.co.uk/team-news;https://www.fantasyfootballscout.co.uk/fpl-2026-27-transfer-news-confirmed-summer-signings,a,,,,,3,BOU,aligned,,available,none,none,not_role_eligible,,,
Brentford,BRE,82,Kelleher,GKP,Nailed Starter,0.9,0.05,0.05,85,20,False,high,unanimous_dual_source,True,Unanimous: FFS predicted XI + Meerkat 🟢 nailed.,FFS Team News; FPL Meerkat,https://fpl.page/article/fpl-gw1-predicted-lineups-2627;https://www.fantasyfootballscout.co.uk/team-news,a,,,,,4,BRE,aligned,,available,none,none,eligible,,,
Brentford,BRE,84,Collins,DEF,Nailed Starter,0.9,0.05,0.05,85,20,False,high,unanimous_dual_source,True,Unanimous: FFS predicted XI + Meerkat 🟢 nailed.,FFS Team News; FPL Meerkat,https://fpl.page/article/fpl-gw1-predicted-lineups-2627;https://www.fantasyfootballscout.co.uk/team-news,a,,,,,4,BRE,aligned,,available,none,none,eligible,,,
Brentford,BRE,88,Kayode,DEF,Nailed Starter,0.9,0.05,0.05,85,20,False,high,unanimous_dual_source,True,Unanimous: FFS predicted XI + Meerkat 🟢 nailed.,FFS Team News; FPL Meerkat,https://fpl.page/article/fpl-gw1-predicted-lineups-2627;https://www.fantasyfootballscout.co.uk/team-news,a,,,,,4,BRE,aligned,,available,none,none,eligible,,,
Brentford,BRE,94,Schade,MID,Nailed Starter,0.9,0.05,0.05,85,20,False,high,unanimous_dual_source,True,Unanimous: FFS predicted XI + Meerkat 🟢 nailed.,FFS Team News; FPL Meerkat,https://fpl.page/article/fpl-gw1-predicted-lineups-2627;https://www.fantasyfootballscout.co.uk/team-news,a,,,,,4,BRE,aligned,,available,none,none,eligible,,,
Brentford,BRE,95,O.Dango,MID,Regular Starter,0.75,0.1,0.15,80,20,False,medium,source_disagreement_or_single,True,Single-source or non-unanimous starter signal (Meerkat 🟢 / predicted).,FFS Team News; FPL Meerkat,https://fpl.page/article/fpl-gw1-predicted-lineups-2627;https://www.fantasyfootballscout.co.uk/team-news,a,,,,,4,BRE,aligned,,available,none,none,eligible,,,
Brentford,BRE,106,Thiago,FWD,Nailed Starter,0.9,0.05,0.05,85,20,False,high,unanimous_dual_source,True,Unanimous: FFS predicted XI + Meerkat 🟢 nailed.,FFS Team News; FPL Meerkat,https://fpl.page/article/fpl-gw1-predicted-lineups-2627;https://www.fantasyfootballscout.co.uk/team-news;https://www.fantasyfootballscout.co.uk/fpl-2026-27-transfer-news-confirmed-summer-signings,a,,,,,4,BRE,aligned,,available,none,none,eligible,,,
Brentford,BRE,85,Van den Berg,DEF,Rotation,0.4,0.25,0.35,70,20,False,medium,source_disagreement_or_single,False,Previously draft-role but absent from current FFS XI and Meerkat nailed list.,FFS Team News; FPL Meerkat,https://www.fantasyfootballscout.co.uk/team-news,a,,,,,4,BRE,aligned,,available,none,none,not_role_eligible,,,
Brentford,BRE,86,Lewis-Potter,MID,Regular Starter,0.75,0.1,0.15,80,20,False,medium,source_disagreement_or_single,True,Single-source or non-unanimous starter signal (FFS predicted XI).,FFS Team News; FPL Meerkat,https://www.fantasyfootballscout.co.uk/team-news,a,,,,,4,BRE,aligned,,available,none,none,eligible,,,
Brentford,BRE,102,Yarmoliuk,MID,Rotation,0.4,0.25,0.35,70,20,False,medium,source_disagreement_or_single,False,Previously draft-role but absent from current FFS XI and Meerkat nailed list.,FFS Team News; FPL Meerkat,https://www.fantasyfootballscout.co.uk/team-news,a,,,,,4,BRE,aligned,,available,none,none,not_role_eligible,,,
Brentford,BRE,98,Janelt,MID,Regular Starter,0.75,0.1,0.15,80,20,False,medium,source_disagreement_or_single,True,Single-source or non-unanimous starter signal (FFS predicted XI).,FFS Team News; FPL Meerkat,https://www.fantasyfootballscout.co.uk/team-news,a,,,,,4,BRE,aligned,,available,none,none,eligible,,,
Brentford,BRE,97,Jensen,MID,Regular Starter,0.75,0.1,0.15,80,20,False,medium,source_disagreement_or_single,True,Single-source or non-unanimous starter signal (FFS predicted XI).,FFS Team News; FPL Meerkat,https://www.fantasyfootballscout.co.uk/team-news,a,,,,,4,BRE,aligned,,available,none,none,eligible,,,
Brentford,BRE,100,Carvalho,MID,Rotation,0.4,0.25,0.35,70,20,False,medium,none,False,"Scout marks ~25% doubt; API knee injury unknown return — keep Rotation when fit, not permanent demotion.",scout_xi|api_status,https://www.fantasyfootballscout.co.uk/team-news;data/processed/players.parquet,i,0.0,,Knee injury - Unknown return date,2026-07-23T12:01:23.400917Z,4,BRE,aligned,,unavailable,api_unavailable_gw1,high,exclude_gw1,API status=i; chance=0.0; Knee injury - Unknown return date,api_status,data/processed/players.parquet
Brentford,BRE,99,Milambo,MID,Rotation,0.4,0.25,0.35,70,20,False,medium,none,False,Scout ~25% doubt midfielder; API knee at 75% chance — Rotation when available behind Janelt/Yarmoliuk.,scout_xi|api_status,https://www.fantasyfootballscout.co.uk/team-news;data/processed/players.parquet,d,75.0,,Knee injury - 75% chance of playing,2026-07-23T12:01:23.384798Z,4,BRE,aligned,,doubt,api_doubt_gw1,medium,not_role_eligible,Knee injury - 75% chance of playing,api_status,data/processed/players.parquet
Brentford,BRE,105,Anthony,MID,Cameo,0.1,0.35,0.55,60,15,False,medium,none,False,Confirmed £15m signing; Meerkat explicitly lists Anthony as backup to Schade/Dango band.,transfer_note|meerkat_nailed,https://www.fantasyfootballscout.co.uk/fpl-2026-27-transfer-news-confirmed-summer-signings;https://fpl.page/article/fpl-gw1-predicted-lineups-2627,a,,,,,4,BRE,aligned,,available,none,none,not_role_eligible,,,
Brentford,BRE,93,Schuster,DEF,Cameo,0.1,0.35,0.55,60,15,False,medium,none,False,"Confirmed May signing; Meerkat lists Schuster as defensive backup, not XI contention starter.",transfer_note|meerkat_nailed,https://www.fantasyfootballscout.co.uk/fpl-2026-27-transfer-news-confirmed-summer-signings;https://fpl.page/article/fpl-gw1-predicted-lineups-2627,a,,,,,4,BRE,aligned,,available,none,none,not_role_eligible,,,
Brentford,BRE,96,Damsgaard,MID,Cameo,0.1,0.35,0.55,60,15,False,medium,none,False,Creative depth outside Scout XI; competes with Jensen for advanced mid minutes.,scout_xi,https://www.fantasyfootballscout.co.uk/team-news,a,,,,,4,BRE,aligned,,available,none,none,not_role_eligible,,,
Brentford,BRE,108,Wilson,FWD,Cameo,0.1,0.35,0.55,60,15,False,medium,none,False,Free signing Callum Wilson; backup to nailed Thiago rather than early draft starter.,transfer_note|scout_xi,https://www.fantasyfootballscout.co.uk/fpl-2026-27-transfer-news-confirmed-summer-signings;https://www.fantasyfootballscout.co.uk/team-news,a,,,,,4,BRE,aligned,,available,none,none,not_role_eligible,,,
